archive,name,bytes,width,height,mips,format
textures.xdb0,textures/$alphadxt1.dds,2176,64,64,0,DXT1
textures.xdb0,textures/$alphadxt1.thm,138,,,,
textures.xdb0,textures/$noalphadxt5.dds,4224,64,64,0,DXT5
textures.xdb0,textures/$noalphadxt5.thm,138,,,,
textures.xdb0,textures/$shadertest.dds,65664,256,256,0,DXT5
textures.xdb0,textures/$shadertest.thm,138,,,,
textures.xdb0,textures/body.dds,6272,32,32,0,DXT5
textures.xdb0,textures/bump#.dds,192,8,8,0,DXT5
textures.xdb0,textures/none#small.dds,65664,256,256,0,DXT5
textures.xdb0,textures/none.dds,192,8,8,0,DXT5
textures.xdb0,textures/parts.dds,6272,32,32,0,DXT5
textures.xdb0,textures/sunmask.dds,1398229,1024,1024,11,RGB
textures.xdb0,textures/aa/aa___grid.dds,174904,512,512,10,DXT1
textures.xdb0,textures/aa/aa_af_aac.dds,174888,512,512,8,DXT1
textures.xdb0,textures/aa/aa_af_aam.dds,174888,512,512,8,DXT1
textures.xdb0,textures/aa/aa_af_iam.dds,174888,512,512,8,DXT1
textures.xdb0,textures/aa/aa_camelbak.dds,174888,512,512,8,DXT1
textures.xdb0,textures/aa/aa_cooler.dds,174888,512,512,8,DXT1
textures.xdb0,textures/aa/aa_frames.dds,174888,512,512,8,DXT1
textures.xdb0,textures/aa/aa_freon.dds,87528,512,256,10,DXT1
textures.xdb0,textures/aa/aa_kevlar.dds,174888,512,512,8,DXT1
textures.xdb0,textures/aa/aa_plates.dds,174904,512,512,10,DXT1
textures.xdb0,textures/aa/aa_surge.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_antigas.dds,174848,512,512,6,DXT1
textures.xdb0,textures/act/act_antigas.thm,158,,,,
textures.xdb0,textures/act/act_antigas_bump#.dds,349568,512,512,6,DXT5
textures.xdb0,textures/act/act_antigas_bump#.thm,138,,,,
textures.xdb0,textures/act/act_antigas_bump.dds,349568,512,512,6,DXT5
textures.xdb0,textures/act/act_antigas_bump.thm,138,,,,
textures.xdb0,textures/act/act_arm_1.dds,349664,512,1024,10,DXT1
textures.xdb0,textures/act/act_arm_1.thm,156,,,,
textures.xdb0,textures/act/act_arm_1_bump#.dds,699200,512,1024,10,DXT5
textures.xdb0,textures/act/act_arm_1_bump#.thm,25094,,,,
textures.xdb0,textures/act/act_arm_1_bump.dds,699200,512,1024,10,DXT5
textures.xdb0,textures/act/act_arm_1_bump.thm,156,,,,
textures.xdb0,textures/act/act_arm_1_exo.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_arm_1_exo.thm,160,,,,
textures.xdb0,textures/act/act_arm_1_exo_bump#.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_1_exo_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_1_exo_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_1_exo_bump.thm,160,,,,
textures.xdb0,textures/act/act_arm_3_exo.dds,524416,1024,1024,1,DXT1
textures.xdb0,textures/act/act_arm_3_exo.thm,160,,,,
textures.xdb0,textures/act/act_arm_bandit.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_bandit.thm,161,,,,
textures.xdb0,textures/act/act_arm_bandit_2.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_bandit_2.thm,163,,,,
textures.xdb0,textures/act/act_arm_bandit_2_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_bandit_2_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_bandit_2_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_bandit_2_bump.thm,162,,,,
textures.xdb0,textures/act/act_arm_bandit_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_bandit_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_bandit_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_bandit_bump.thm,160,,,,
textures.xdb0,textures/act/act_arm_bdtnov.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_bdtnov.thm,161,,,,
textures.xdb0,textures/act/act_arm_berill.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_berill.thm,161,,,,
textures.xdb0,textures/act/act_arm_berill_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_berill_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_berill_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_berill_bump.thm,160,,,,
textures.xdb0,textures/act/act_arm_clearsky_3.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_arm_clearsky_3.thm,165,,,,
textures.xdb0,textures/act/act_arm_clearsky_3_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_clearsky_3_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_clearsky_3_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_clearsky_3_bump.thm,164,,,,
textures.xdb0,textures/act/act_arm_cloak_brown.dds,1048704,2048,1024,1,DXT1
textures.xdb0,textures/act/act_arm_cloak_brown.thm,166,,,,
textures.xdb0,textures/act/act_arm_cloak_brown_bump#.dds,2795648,2048,1024,6,DXT5
textures.xdb0,textures/act/act_arm_cloak_brown_bump.dds,2795648,2048,1024,6,DXT5
textures.xdb0,textures/act/act_arm_cloak_brown_bump.thm,165,,,,
textures.xdb0,textures/act/act_arm_cloak_leather.dds,1048704,2048,1024,1,DXT1
textures.xdb0,textures/act/act_arm_cloak_leather.thm,168,,,,
textures.xdb0,textures/act/act_arm_cloak_leather_bump#.dds,2795648,2048,1024,6,DXT5
textures.xdb0,textures/act/act_arm_cloak_leather_bump.dds,2795648,2048,1024,6,DXT5
textures.xdb0,textures/act/act_arm_cloak_leather_bump.thm,167,,,,
textures.xdb0,textures/act/act_arm_cs1suit.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_arm_cs1suit.thm,162,,,,
textures.xdb0,textures/act/act_arm_cs2suit_hands.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_arm_cs2suit_hands.thm,168,,,,
textures.xdb0,textures/act/act_arm_cs3b_0.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_arm_cs3b_0.thm,161,,,,
textures.xdb0,textures/act/act_arm_csnovo.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_arm_csnovo.thm,161,,,,
textures.xdb0,textures/act/act_arm_d_exo.dds,699192,1024,1024,11,DXT1
textures.xdb0,textures/act/act_arm_d_exo.thm,160,,,,
textures.xdb0,textures/act/act_arm_d_exo_bump#.dds,1398256,1024,1024,11,DXT5
textures.xdb0,textures/act/act_arm_d_exo_bump.dds,1398256,1024,1024,11,DXT5
textures.xdb0,textures/act/act_arm_d_exo_bump.thm,162,,,,
textures.xdb0,textures/act/act_arm_dutnov.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_dutnov.thm,161,,,,
textures.xdb0,textures/act/act_arm_duty.dds,699216,1024,512,11,DXT3
textures.xdb0,textures/act/act_arm_duty.thm,159,,,,
textures.xdb0,textures/act/act_arm_duty_1.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_duty_1.thm,161,,,,
textures.xdb0,textures/act/act_arm_duty_2.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_duty_2.thm,161,,,,
textures.xdb0,textures/act/act_arm_duty_2_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_duty_2_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_duty_2_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_duty_2_bump.thm,160,,,,
textures.xdb0,textures/act/act_arm_ecolog_blues.dds,2097280,2048,1024,1,DXT5
textures.xdb0,textures/act/act_arm_ecolog_blues.thm,161,,,,
textures.xdb0,textures/act/act_arm_ecolog_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_ecolog_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_ecolog_bump.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_ecolog_bump.thm,160,,,,
textures.xdb0,textures/act/act_arm_ecolog_gre.dds,349672,1024,512,11,DXT1
textures.xdb0,textures/act/act_arm_ecolog_gre.thm,161,,,,
textures.xdb0,textures/act/act_arm_ecolog_green.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_ecolog_green.thm,161,,,,
textures.xdb0,textures/act/act_arm_ecolog_red.dds,349664,1024,512,10,DXT1
textures.xdb0,textures/act/act_arm_ecolog_red.thm,161,,,,
textures.xdb0,textures/act/act_arm_ecolog_whi.dds,2097280,2048,1024,1,DXT5
textures.xdb0,textures/act/act_arm_ecolog_whi.thm,161,,,,
textures.xdb0,textures/act/act_arm_ecologists.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_ecologists.thm,165,,,,
textures.xdb0,textures/act/act_arm_exo_a.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_exo_a.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_b.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_exo_b.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_f.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_exo_f.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_k.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_exo_k.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_m.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_exo_m.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_rad1.dds,2097280,2048,2048,1,DXT1
textures.xdb0,textures/act/act_arm_exo_rad1.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_rad2.dds,2097280,2048,2048,1,DXT1
textures.xdb0,textures/act/act_arm_exo_rad2.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_rad3.dds,2097280,2048,2048,1,DXT1
textures.xdb0,textures/act/act_arm_exo_rad3.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_rad4.dds,2097280,2048,2048,1,DXT1
textures.xdb0,textures/act/act_arm_exo_rad4.thm,160,,,,
textures.xdb0,textures/act/act_arm_exo_rad5.dds,2097280,2048,2048,1,DXT1
textures.xdb0,textures/act/act_arm_exo_rad5.thm,160,,,,
textures.xdb0,textures/act/act_arm_fdmnov.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_fdmnov.thm,161,,,,
textures.xdb0,textures/act/act_arm_free_g.dds,699216,1024,512,11,DXT3
textures.xdb0,textures/act/act_arm_free_g.thm,161,,,,
textures.xdb0,textures/act/act_arm_frse.dds,699216,1024,512,11,DXT3
textures.xdb0,textures/act/act_arm_frse.thm,159,,,,
textures.xdb0,textures/act/act_arm_merb.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_merb.thm,159,,,,
textures.xdb0,textures/act/act_arm_merc.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_merc.thm,159,,,,
textures.xdb0,textures/act/act_arm_merc_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_merc_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_merc_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_merc_bump.thm,158,,,,
textures.xdb0,textures/act/act_arm_mese.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_mese.thm,159,,,,
textures.xdb0,textures/act/act_arm_milnov.dds,699216,1024,512,11,DXT3
textures.xdb0,textures/act/act_arm_milnov.thm,161,,,,
textures.xdb0,textures/act/act_arm_mntnov.dds,699216,1024,512,11,DXT3
textures.xdb0,textures/act/act_arm_mntnov.thm,161,,,,
textures.xdb0,textures/act/act_arm_mono_1.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_mono_1.thm,161,,,,
textures.xdb0,textures/act/act_arm_mono_1_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_mono_1_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_mono_1_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_mono_1_bump.thm,160,,,,
textures.xdb0,textures/act/act_arm_mono_glove.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_mono_glove.thm,165,,,,
textures.xdb0,textures/act/act_arm_mono_glove_bump#.dds,262272,512,512,0,DXT5
textures.xdb0,textures/act/act_arm_mono_glove_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_mono_glove_bump.dds,262272,512,512,0,DXT5
textures.xdb0,textures/act/act_arm_mono_glove_bump.thm,164,,,,
textures.xdb0,textures/act/act_arm_mose.dds,699216,1024,512,11,DXT3
textures.xdb0,textures/act/act_arm_mose.thm,159,,,,
textures.xdb0,textures/act/act_arm_mrcnov.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_mrcnov.thm,161,,,,
textures.xdb0,textures/act/act_arm_nbcsuit_ao3_2x.dds,2097280,2048,2048,1,DXT1
textures.xdb0,textures/act/act_arm_nbcsuit_ao3_2x.thm,169,,,,
textures.xdb0,textures/act/act_arm_nbcsuit_ao3_2x_bump#.dds,5591168,2048,2048,6,DXT5
textures.xdb0,textures/act/act_arm_nbcsuit_ao3_2x_bump.dds,5591168,2048,2048,6,DXT5
textures.xdb0,textures/act/act_arm_nbcsuit_ao3_2x_bump.thm,168,,,,
textures.xdb0,textures/act/act_arm_novice.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_novice.thm,161,,,,
textures.xdb0,textures/act/act_arm_novice_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_novice_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_novice_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_novice_bump.thm,160,,,,
textures.xdb0,textures/act/act_arm_seva.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_seva.thm,159,,,,
textures.xdb0,textures/act/act_arm_skat_9.dds,699216,1024,512,11,DXT3
textures.xdb0,textures/act/act_arm_skat_9.thm,161,,,,
textures.xdb0,textures/act/act_arm_stalker.dds,699200,1024,512,10,DXT5
textures.xdb0,textures/act/act_arm_stalker.thm,162,,,,
textures.xdb0,textures/act/act_arm_stalker_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_stalker_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_stalker_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_stalker_bump.thm,161,,,,
textures.xdb0,textures/act/act_arm_sviter_1.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_sviter_1.thm,163,,,,
textures.xdb0,textures/act/act_arm_sviter_1_bump#.dds,1048704,1024,1024,0,DXT5
textures.xdb0,textures/act/act_arm_sviter_1_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_sviter_1_bump.dds,1048704,1024,1024,0,DXT5
textures.xdb0,textures/act/act_arm_sviter_1_bump.thm,162,,,,
textures.xdb0,textures/act/act_arm_svoboda_light_bump#.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_svoboda_light_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_svoboda_light_bump.dds,524416,1024,512,0,DXT5
textures.xdb0,textures/act/act_arm_svoboda_light_bump.thm,167,,,,
textures.xdb0,textures/act/act_arm_svoboda_middle.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_arm_svoboda_middle.thm,169,,,,
textures.xdb0,textures/act/act_arm_svoboda_middle_bump#.dds,1048704,1024,1024,0,DXT5
textures.xdb0,textures/act/act_arm_svoboda_middle_bump#.thm,138,,,,
textures.xdb0,textures/act/act_arm_svoboda_middle_bump.dds,1048704,1024,1024,0,DXT5
textures.xdb0,textures/act/act_arm_svoboda_middle_bump.thm,168,,,,
textures.xdb0,textures/act/act_arm_windfrd.dds,262272,1024,512,1,DXT1
textures.xdb0,textures/act/act_arm_windfrd.thm,162,,,,
textures.xdb0,textures/act/act_b2_tech_face.dds,174848,512,512,6,DXT1
textures.xdb0,textures/act/act_b2_tech_face.thm,163,,,,
textures.xdb0,textures/act/act_b2_tech_face_bump#.dds,349568,512,512,6,DXT5
textures.xdb0,textures/act/act_b2_tech_face_bump#.thm,138,,,,
textures.xdb0,textures/act/act_b2_tech_face_bump.dds,349568,512,512,6,DXT5
textures.xdb0,textures/act/act_b2_tech_face_bump.thm,165,,,,
textures.xdb0,textures/act/act_bandit2a.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_bandit2a.thm,168,,,,
textures.xdb0,textures/act/act_bure2.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_bure2.thm,156,,,,
textures.xdb0,textures/act/act_bure3.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_bure3.thm,156,,,,
textures.xdb0,textures/act/act_bure4.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_bure4.thm,156,,,,
textures.xdb0,textures/act/act_burer.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_burer.thm,156,,,,
textures.xdb0,textures/act/act_burer_bump#.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_burer_bump#.thm,138,,,,
textures.xdb0,textures/act/act_burer_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_burer_bump.thm,156,,,,
textures.xdb0,textures/act/act_ca1.dds,349568,512,512,6,DXT5
textures.xdb0,textures/act/act_ca1.thm,174,,,,
textures.xdb0,textures/act/act_ca2.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_ca2.thm,174,,,,
textures.xdb0,textures/act/act_ca3.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_ca3.thm,174,,,,
textures.xdb0,textures/act/act_ca4.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_ca4.thm,174,,,,
textures.xdb0,textures/act/act_cat.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_cat.thm,174,,,,
textures.xdb0,textures/act/act_cat2.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_cat2.thm,174,,,,
textures.xdb0,textures/act/act_cat_bump#.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_cat_bump#.thm,138,,,,
textures.xdb0,textures/act/act_cat_bump.dds,349680,512,512,10,DXT5
