file,line,func,expr,usage,code
xrGame\Actor_Events.cpp,108,OnEvent,Obj,разыменование,"VERIFY2(Obj, make_string(""GE_OWNERSHIP_REJECT: Object not found, id = %d"", id).c_str());"
xrGame\Actor_Events.cpp,211,OnEvent,Obj,разыменование,"VERIFY2(Obj, make_string(""GEG_PLAYER_ITEM_EAT(use): Object not found. object_id = [%d]"", id).c_str()"
xrGame\Actor_Events.cpp,245,OnEvent,pArtefact,разыменование,"VERIFY2(pArtefact,"
xrGame\alife_anomalous_zone.cpp,73,spawn_artefacts,!(n % 2),разыменование,"VERIFY2(!(n % 2), ""Invalid parameters count in line artefacts for anomalous zone"");"
xrGame\alife_simulator_base_inline.h,35,spawns,m_spawns,разыменование *,VERIFY(m_spawns);
xrGame\alife_simulator_base_inline.h,98,spawns,m_spawns,разыменование *,VERIFY(m_spawns);
xrGame\alife_spawn_registry.cpp,60,load,chunk,разыменование,VERIFY(chunk);
xrGame\alife_spawn_registry.cpp,69,load,!m_file,разыменование *,VERIFY(!m_file);
xrGame\alife_spawn_registry.cpp,83,load,!m_file,разыменование *,VERIFY(!m_file);
xrGame\alife_spawn_registry.cpp,111,load,!m_chunk,разыменование *,VERIFY(!m_chunk);
xrGame\alife_spawn_registry.cpp,156,load_updates,vertex,разыменование,VERIFY(vertex);
xrGame\alife_spawn_registry_inline.h,42,spawn_id,I != m_spawn_story_ids.end(),разыменование *,"VERIFY2(I != m_spawn_story_ids.end(), ""Spawn story id cannot be found"");"
xrGame\alife_surge_manager.cpp,35,spawn_new_spawns,spawn,разыменование,"VERIFY3(spawn, spawns().spawns().vertex(*I)->data()->object().name(),"
xrGame\alife_trader_abstract.cpp,28,spawn_supplies,dynamic_object,разыменование,VERIFY(dynamic_object);
xrGame\artefact_activation.cpp,180,SpawnAnomaly,AlifeZone,разыменование,VERIFY(AlifeZone);
xrGame\CarWheels.cpp,80,Load,ini,разыменование,VERIFY(ini);
xrGame\CarWheels.cpp,379,Load,ini,разыменование,VERIFY(ini);
xrGame\CharacterPhysicsSupport.cpp,271,SpawnInitPhysics,po,разыменование,VERIFY(po);
xrGame\CustomZone.cpp,363,net_Spawn,Z,разыменование,VERIFY(Z);
xrGame\CustomZone.cpp,1172,OnEvent,artefact,разыменование,VERIFY(artefact);
xrGame\GameObject.cpp,441,net_Spawn,E,разыменование,VERIFY(E);
xrGame\game_cl_mp.cpp,1182,OnEventMoneyChanged,m_game_ui_custom,разыменование,"VERIFY2(m_game_ui_custom, ""game ui not initialized"");"
xrGame\game_sv_base.cpp,730,OnEvent,CL,разыменование,"VERIFY2(CL, ""bad create client message GAME_EVENT_CREATE_CLIENT"");"
xrGame\game_sv_capture_the_artefact.cpp,993,LoadAnomaliesItems,level_ini_file,разыменование,"VERIFY2(level_ini_file, ""level ini file not initialized"");"
xrGame\game_sv_capture_the_artefact.cpp,1036,LoadAnomalySet,level_ini_file,разыменование,"VERIFY2(level_ini_file, ""level ini file not initialized"");"
xrGame\game_sv_capture_the_artefact.cpp,1271,SpawnWeaponsForActor,pA,разыменование,"VERIFY2(pA, ""owner not an Actor"");"
xrGame\game_sv_mp.cpp,405,OnEvent,pClient,разыменование *,"VERIFY2(pClient,"
xrGame\game_sv_mp_script.cpp,58,SpawnPlayer,CL,разыменование,VERIFY(CL);
xrGame\game_sv_mp_script.cpp,61,SpawnPlayer,ps_who,разыменование,VERIFY(ps_who);
xrGame\InventoryOwner.cpp,340,spawn_supplies,game_object,разыменование,VERIFY(game_object);
xrGame\Level_load.cpp,90,Load_GameSpecific_After,m_level_sound_manager,разыменование,VERIFY(m_level_sound_manager);
xrGame\Level_network_Demo.cpp,100,RestartPlayDemo,g_pGameLevel,разыменование,VERIFY(g_pGameLevel);
